"","logFC","logCPM","F","PValue","FDR"
"ENSG00000026508",-2.64000926242841,1.72373473754894,78.9662741804733,1.28351763890118e-08,0.0003318534855379
"ENSG00000287345",1.89274815926028,-1.01226870066152,24.9657533632281,3.0780920829514e-05,0.228298323524394
"ENSG00000235615",-1.73928068087918,1.85101145923892,29.5293058883385,3.12269788472186e-05,0.228298323524394
"ENSG00000236485",-2.26585809329514,1.93547776235492,28.0508772279621,3.53197947823468e-05,0.228298323524394
"ENSG00000236130",-1.70648949304101,2.27448967677845,27.2266003607129,5.67622585292098e-05,0.293517638854544
"ENSG00000137860",-2.20245519083141,1.66992947201745,22.5364802200395,0.000123747470061165,0.533248473071904
"ENSG00000243810",-1.78269528379604,-0.294229779232408,19.178264417489,0.000212798440457932,0.553052215365226
"ENSG00000234169",-1.51054380943511,-0.172482704103595,19.636172554164,0.000227196954304359,0.553052215365226
"ENSG00000244300",-1.37809541432043,-0.393712714213178,19.4179589326667,0.000230727832427396,0.553052215365226
"ENSG00000259520",-2.22645289751304,2.99780656725965,20.5568328043492,0.000253306644030462,0.553052215365226
"ENSG00000260496",-1.71163339673095,-1.8417285345812,18.8385318339556,0.000279897475656524,0.553052215365226
"ENSG00000204006",1.1152521214807,-0.883076451507901,17.6641905602569,0.000282046394086652,0.553052215365226
"ENSG00000285683",-2.91725443362116,1.39532705950044,18.5920348993048,0.00029915466496014,0.553052215365226
"ENSG00000188393",3.22380366696256,0.942571760124734,19.2141011492192,0.000313705245056796,0.553052215365226
"ENSG00000287801",1.05741568354263,0.0107407670536697,18.3224167849791,0.000320857986094697,0.553052215365226
"ENSG00000134602",0.787748521530074,0.101122275811383,18.2937063760202,0.000352044604610517,0.568882078262808
"ENSG00000166959",-1.54266717429595,-0.0476490500037516,17.4651827801264,0.000390004171090658,0.573614306758727
"ENSG00000231439",1.59026975663368,-0.0502962252013168,17.6840737073528,0.000406486996768111,0.573614306758727
"ENSG00000091704",6.43772084505427,2.66745828584785,17.5507568140063,0.00043391972430215,0.573614306758727
"ENSG00000228488",-1.45390757116792,-1.11753242089279,16.8880898467933,0.000449746777586411,0.573614306758727
"ENSG00000232310",-0.987502737697039,2.05835507126004,18.0057208061421,0.000465902163679492,0.573614306758727
"ENSG00000125409",-0.982926875206885,1.23885220773171,17.444820714513,0.000504914245234452,0.578172160738445
"ENSG00000240405",0.928147237342694,2.18368867229156,17.8932904509413,0.000530438751539738,0.578172160738445
"ENSG00000154415",0.739516586296844,-0.0557276516072888,16.641347253603,0.000554303764300041,0.578172160738445
"ENSG00000225231",3.08602129969884,2.27581726873167,17.645296690323,0.000565875383154895,0.578172160738445
"ENSG00000228151",-1.6050665663625,-1.35687640815834,16.1011815220926,0.000600987879414233,0.578172160738445
"ENSG00000232002",-1.28841016261665,-0.590505993120263,15.820608860062,0.000603776768127558,0.578172160738445
"ENSG00000101825",1.30069860680598,-1.04876727180404,15.1291566423616,0.000643705404855285,0.594392972947622
"ENSG00000254852",-3.18620373378229,-1.38717278315687,15.5709638341122,0.000733543005300631,0.630338578002996
"ENSG00000063245",-1.22334479082739,4.62252352008876,16.5388995665041,0.000752785052084922,0.630338578002996
"ENSG00000125735",1.26109007264836,-0.0932683140350654,15.5967181754118,0.000755772419961047,0.630338578002996
"ENSG00000226383",1.41687451841595,3.15845536524733,16.1127603351141,0.0008475026325846,0.684755642671088
"ENSG00000279019",4.92168907563215,1.9764118756403,14.8956258662819,0.000946161838191716,0.711012107727077
"ENSG00000267767",1.27502582258042,-0.712389461260548,14.0091155494006,0.000950774283302619,0.711012107727077
"ENSG00000198246",-0.830984435708779,2.86437608459582,15.5414666987333,0.000988947745300828,0.711012107727077
"ENSG00000285554",-1.58365748825926,-0.399005100935944,14.253569958953,0.00100532655479375,0.711012107727077
"ENSG00000197324",-1.38221153761089,-0.106444082956289,14.1793790793898,0.00102777927655128,0.711012107727077
"ENSG00000197301",4.79872188505702,3.13874246883985,14.9849879278639,0.00106627616612416,0.711012107727077
"ENSG00000134440",-0.496418072095608,5.39701190237089,15.0951020738539,0.00112097230575956,0.711012107727077
"ENSG00000243468",-1.32654186078552,0.318691739182784,14.1858085942879,0.00112280212015362,0.711012107727077
"ENSG00000285543",-0.871551874323837,0.564513934869336,14.2285142498467,0.00115391848755359,0.711012107727077
"ENSG00000256574",-1.50007943996142,-1.03773013588607,14.0556161049957,0.0011549993627746,0.711012107727077
"ENSG00000287853",-0.903962461087415,-0.654424064131785,13.1879449439721,0.00130653783457833,0.753756618616647
"ENSG00000267607",-1.24365884375067,-1.3866345296799,13.7455760655044,0.00132571675676762,0.753756618616647
"ENSG00000139344",-0.697448300948447,0.387738498073552,13.7375730548276,0.00133062741129714,0.753756618616647
"ENSG00000267392",-1.72879115507911,-0.330457436331576,13.6125584649818,0.00134104832552179,0.753756618616647
"ENSG00000271901",-1.38989986640312,0.388987409656162,13.4238297857152,0.00140105258115017,0.760238039438455
"ENSG00000275830",-0.88633737439405,2.7570871944401,14.2360202181449,0.00143978616754121,0.760238039438455
"ENSG00000162913",-1.29908215740084,0.24605221025501,13.3137616752884,0.00145103465253977,0.760238039438455
"ENSG00000272631",-0.759965848970459,1.09411085208903,13.7101001458334,0.00150599896348685,0.760238039438455
"ENSG00000244052",-1.37758684196862,-0.0182516289493591,13.1301212004791,0.00151446012976168,0.760238039438455
"ENSG00000149305",-0.791555383106951,3.89072905014461,13.9942467160706,0.00154704089079216,0.760238039438455
"ENSG00000229980",-0.802396733038235,3.52697232623913,13.9715536139064,0.00155840712010204,0.760238039438455
"ENSG00000253404",-1.70392248558477,-0.589097001377683,12.7138854523171,0.00164766699747635,0.776260745427395
"ENSG00000234111",-1.45014213293162,-0.907546695252918,13.063175811485,0.00165129920705886,0.776260745427395
"ENSG00000240790",1.80661066210999,-0.811561711109851,12.3282633807381,0.0017063241638045,0.776381928699259
"ENSG00000180921",0.928078607920394,1.45060820615087,13.4738897452362,0.00180231211628689,0.776381928699259
"ENSG00000272361",0.730206623295542,0.0530813109423911,12.8440256566529,0.00180944053432035,0.776381928699259
"ENSG00000215417",1.12327045547487,-0.677805746592777,12.3441518398805,0.00185441372910139,0.776381928699259
"ENSG00000285963",1.39038071674253,-0.692718428118931,12.2834020827292,0.00186317667989542,0.776381928699259
"ENSG00000286099",1.09298528595104,-0.404212686270761,12.453571185933,0.00188921849375132,0.776381928699259
"ENSG00000237238",0.887163475411315,5.77698951046083,13.2318246879283,0.00193617625722394,0.776381928699259
"ENSG00000256407",-0.878724756477112,0.643608699620049,12.6387769378734,0.00195455922354023,0.776381928699259
"ENSG00000150630",1.52597307044545,1.53647342045654,13.1539218015841,0.00198935833222703,0.776381928699259
"ENSG00000248176",-1.31658123909294,0.41481995164422,12.3090523795534,0.00199886916057206,0.776381928699259
"ENSG00000287439",-1.18884122106647,-0.579932016696365,12.1196239095802,0.00205344309884201,0.776381928699259
"ENSG00000261842",-1.31380174537071,-1.32063003033813,11.9845485202979,0.00213878638278358,0.776381928699259
"ENSG00000283646",-1.58105229922548,-0.382936739308594,12.0194913035844,0.00215580457204799,0.776381928699259
"ENSG00000232546",-0.615969276809253,0.332270407535012,12.1527408105547,0.00218321561314633,0.776381928699259
"ENSG00000225279",-0.978262136531569,0.368163516374462,12.055627795657,0.00219186643469905,0.776381928699259
"ENSG00000224445",-2.13357971130223,2.14779547890052,12.4463581857403,0.00220865188632175,0.776381928699259
"ENSG00000212766",1.21861729934302,-0.479060114246193,11.6771875264749,0.00230650585118489,0.776381928699259
"ENSG00000273024",0.604880329288918,4.37157879377256,12.6608160126803,0.00230781666014959,0.776381928699259
"ENSG00000232359",-2.41248302161698,-1.0058335825903,12.0255656831778,0.00231428680979521,0.776381928699259
"ENSG00000242082",1.00520424351951,7.09796214479066,12.6138362000763,0.00234008914762195,0.776381928699259
"ENSG00000137815",-0.433126432828885,6.42149705906117,12.5830576352989,0.00236265907130615,0.776381928699259
"ENSG00000078269",-0.378623483627147,6.18567244168752,12.5567767601838,0.002382143803329,0.776381928699259
