gene,logFC,logCPM,F,PValue,FDR,gene
ENSG00000026508,-2.19296583934095,1.81774353078619,75.9583922099003,5.298840130739421e-09,0.0001156100939724,CD44
ENSG00000259520,-2.34800093686662,2.87446146993503,41.2006141397623,1.39409410588418e-06,0.0150990586542151,SLC28A2-AS1
ENSG00000188393,4.81354505229293,0.34900731548968,33.2950731337786,2.07613786610346e-06,0.0150990586542151,CLEC2A
ENSG00000225231,4.49703124179247,1.94813749582395,32.1467055467931,7.78411676446916e-06,0.042458464891797,LINC02470
ENSG00000205628,3.38216870546051,0.674845021717257,27.250207042269,1.76739184373599e-05,0.0725379868375786,LINC01446
ENSG00000236130,-1.62124766152842,2.1551842364345,28.5302229242982,1.99481126146059e-05,0.0725379868375786,PTCSC2
ENSG00000137860,-1.91435579067136,1.59917405789178,25.3551215772433,3.17123922625593e-05,0.0988429963406454,SLC28A2
ENSG00000225647,1.79144547201963,0.180670163264612,24.1459227454514,4.52101612707154e-05,0.119552496529573,LOC105375448
ENSG00000091704,6.74096336240556,2.63006765958987,23.0800832997598,4.93158157835805e-05,0.119552496529573,CPA1
ENSG00000184227,-1.18726593609079,0.84452893134609,19.6274875412542,0.0001783378515072,0.343949103405154,ACOT1
ENSG00000236485,-1.35077998211269,2.59003084569077,19.8706136936345,0.0001899575639797,0.343949103405154,LINC01945
ENSG00000150175,2.53095479479833,0.897871759195389,18.5763797096579,0.0002582782978583,0.40250827876238,FRMPD2B
ENSG00000245685,0.612764127098279,5.4315845851474,18.9487732294257,0.0003117899450048,0.453508868007678,FRG1-DT
ENSG00000125409,-1.09318536561096,1.27269373496136,17.1966530700234,0.0003666653364476,0.470582606506785,TEKT3
ENSG00000149089,-0.595927812303925,5.10339076159762,17.413063882286,0.000474470380274,0.522012709371497,APIP
ENSG00000285683,-2.13547319405397,1.40012978706212,15.7478387026347,0.0005346727717416,0.522012709371497,LOC105375775
ENSG00000140839,1.50493034019009,-0.457429556715487,15.5738601158123,0.0005369624742561,0.522012709371497,CLEC18B
ENSG00000197083,1.33640310905179,0.747909751158304,15.9899418449396,0.0005563126572528,0.522012709371497,ZNF300P1
ENSG00000124380,-0.579066924732779,3.47910633556661,16.3778225630689,0.0005998461369574,0.522012709371497,SNRNP27
ENSG00000226194,-1.21792872687247,1.00212935683539,15.6164038025126,0.0006181765557804,0.522012709371497,LINC02519
ENSG00000286251,-2.12056755237783,1.76914821012312,15.1922512601919,0.0006276167319435,0.522012709371497,LOC105377411
ENSG00000215252,-0.745684778244231,6.88582186754558,16.2252636221762,0.0006638383832373,0.522012709371497,GOLGA8B
ENSG00000274512,1.06483143831865,0.414969251237184,15.0205782546677,0.0007099901438187,0.522012709371497,TBC1D3L
ENSG00000142765,-0.860778521209837,0.324032789505918,14.9654211264843,0.0007177734568312,0.522012709371497,SYTL1
ENSG00000204869,0.715301012991643,5.85808259122584,15.8006482968797,0.0007517009361828,0.524382589823919,IGFL4
ENSG00000247627,6.01055722101646,0.745979750052484,14.0850839153715,0.0007975032252625,0.526962708474028,MTND4P12
ENSG00000261819,-1.85718332599282,1.71809753563783,14.6762283122851,0.000839234608562,0.526962708474028,LOC728138
ENSG00000235559,2.8314878044348,-1.01935054356861,13.7526895720513,0.0008453430560358,0.526962708474028,NOP56P1
ENSG00000185561,-1.56072248072853,0.0320453790140752,14.7099036664089,0.0008895238545487,0.539100873848439,TLCD2
ENSG00000131126,2.60584013198778,1.24941786620978,14.119122297319,0.0009646553590688,0.565307171273656,TEX101
ENSG00000134440,-0.527616598582333,5.45057242676961,14.5536810764759,0.0010939265866685,0.588990109788811,NARS1
ENSG00000224445,-2.8517879719929,2.46321435106159,13.8639333353835,0.0011068198048098,0.588990109788811,LINC01708
ENSG00000197301,4.50036539524985,3.14512183022812,14.1285119569009,0.001227792006525,0.629316657101797,HMGA2-AS1
ENSG00000225179,-0.77667494065973,1.6122051649301,13.538936019622,0.0012402885807763,0.629316657101797,LINC00457
ENSG00000124164,0.879294045235215,5.84269164271468,13.9527112931289,0.0013138529813547,0.651491916981765,VAPB
ENSG00000215274,1.1873505731012,-0.29701399400189,12.872795287774,0.0014157916179857,0.660130486081247,GAGE10
ENSG00000104408,0.425274871011307,5.91639123794958,13.641607873199,0.0014484899727051,0.660130486081247,EIF3E
ENSG00000140505,-3.90958527647319,0.102371169415366,13.0988790511146,0.0014579019447666,0.660130486081247,CYP1A2
ENSG00000272274,-1.33043245689157,3.53190842566245,13.3684169949957,0.0014739148720246,0.660130486081247,ARGLU1-DT
ENSG00000258537,-1.12137170341787,0.459707440937707,12.5834512207723,0.0015657170308974,0.660130486081247,FRMD6-AS2
ENSG00000259518,-1.2397012755646,1.45187435316621,12.7776587758185,0.0015837880090606,0.660130486081247,LINC01583
ENSG00000277701,1.29885229861009,0.345846844097693,12.6508067197564,0.0015982366901318,0.660130486081247,LOC100506076
ENSG00000130234,1.14501541754079,0.0228021828268681,12.4358904076534,0.001713963483442,0.679913732395227,ACE2
ENSG00000261807,0.87009708986151,1.86339624718521,12.4776045547564,0.001853479511529,0.70119825141674,LINC02141
ENSG00000162877,-2.21337827898305,2.17817313311573,12.2732076958928,0.001885710448755,0.70119825141674,PM20D1
ENSG00000226145,-2.36237281479865,-0.565470986844227,12.3861221204105,0.0018914913246127,0.70119825141674,KRT16P6
ENSG00000276966,-1.0126863694698,0.514528211586967,12.1007939034493,0.0019842486472121,0.7215389497479,H4C5
ENSG00000138792,0.753049081371731,2.42059011278714,12.3489036678872,0.0020574364812141,0.724018534631149,ENPEP
