gene_ensembl,logFC,logCPM,F,PValue,FDR,gene
ENSG00000152527,-2.0802692417455,3.749236877289,48.3700418718779,7.55186734143131e-07,0.0095405568149316,PLEKHH2
ENSG00000246090,-2.85219546083535,2.08728524919901,44.3913644107609,8.74558329354809e-07,0.0095405568149316,LOC100507053
ENSG00000204434,-3.14035040133575,1.35982210341317,35.9401076505977,3.95245915422353e-06,0.028744917942283,POTEKP
ENSG00000140505,-5.60526750488609,0.102371169415366,20.2235238189449,0.0001665662769041,0.65567249030074,CYP1A2
ENSG00000070601,-0.935604931812426,4.91688238015337,21.0526179028992,0.000180311437428,0.65567249030074,FRMPD1
ENSG00000259417,-1.42707254607891,5.8275622848067,19.6505968843098,0.0002590998683927,0.773620329927957,CTXND1
ENSG00000152953,-1.19544326776742,3.92404498718838,19.1397976354418,0.0002836631514998,0.773620329927957,STK32B
ENSG00000164512,-1.51663564207581,5.8377954436657,18.1272217919065,0.000389769566385,0.869396431049682,ANKRD55
ENSG00000006468,-1.79373220740947,4.47672697972264,17.9744364746183,0.0003984766848701,0.869396431049682,ETV1
ENSG00000132326,-1.08024268689368,3.47050521657293,16.3985926607982,0.0005971743083488,0.993875358631492,PER2
ENSG00000237499,-2.59685143606035,0.531327241730843,15.8718073715666,0.0006237251554514,0.993875358631492,WAKMAR2
ENSG00000162877,-3.04475794509218,2.17817313311573,14.8594796614526,0.0007915879927028,0.993875358631492,PM20D1
ENSG00000004468,-1.71173536363323,0.661724653910068,14.5782059901146,0.0008712107595908,0.993875358631492,CD38
ENSG00000138741,-1.14198097930945,5.09477023771485,15.226001078822,0.0008917993151088,0.993875358631492,TRPC3
ENSG00000163864,-0.583064389063458,6.09428500010983,15.2039975965639,0.0008975941650475,0.993875358631492,NMNAT3
ENSG00000188825,-1.08086842972507,3.14000868433757,14.8018872664192,0.0009285177826394,0.993875358631492,LINC00910
ENSG00000060709,-0.554899963316496,8.22748043083117,15.0741052900144,0.0009316800602673,0.993875358631492,RIMBP2
ENSG00000254532,-2.49389296333744,4.01349970312655,14.4887694511889,0.0010427589999883,0.993875358631492,ARL14EP-DT
ENSG00000122012,-1.10381817587682,5.94431923913046,14.456538606955,0.0011259176042463,0.993875358631492,SV2C
ENSG00000158683,-0.751601231417125,6.29946370618703,14.3362812289216,0.0011670731091391,0.993875358631492,PKD1L1
ENSG00000241743,-1.11311745338922,4.65476288156808,14.274046914571,0.0011871304537479,0.993875358631492,XACT
ENSG00000148082,-0.846071623771011,6.80807003622558,14.0468626640725,0.0012755561039633,0.993875358631492,SHC3
ENSG00000173905,-0.684099309328726,6.023708275491,13.8014779268683,0.0013783521037467,0.993875358631492,GOLIM4
ENSG00000164949,-1.66126382708981,0.470945787888701,13.1964847154585,0.0014228852310928,0.993875358631492,GEM
ENSG00000171094,-0.803477291379881,8.35703785793816,13.5088551997798,0.001508904917385,0.993875358631492,ALK
ENSG00000101162,3.6142698231893,0.315311820672349,12.6605281424004,0.0016666694728265,0.993875358631492,TUBB1
ENSG00000112541,-0.581892638013791,8.85422009532769,13.1090110149611,0.0017136271119621,0.993875358631492,PDE10A
ENSG00000154127,-0.70568929133601,7.82764768810162,13.044745661576,0.0017494352058671,0.993875358631492,UBASH3B
ENSG00000196562,-0.571111756455286,4.9504656642622,13.0094823770847,0.0017727615140797,0.993875358631492,SULF2
ENSG00000088926,-1.73804236458452,0.50657927763763,12.4763455574833,0.0017803393481445,0.993875358631492,F11
ENSG00000224445,-3.6053881284724,2.46321435106159,12.3865335626134,0.0018270497865504,0.993875358631492,LINC01708
ENSG00000115661,2.09448114223176,0.559177487927055,11.859120687154,0.0020114087846913,0.993875358631492,STK16
ENSG00000168243,-0.808723619055075,5.68851259888294,12.2662242720194,0.0022583577967021,0.993875358631492,GNG4
ENSG00000136404,0.708978720248656,4.73661903714968,12.1016931465068,0.0023855468447055,0.993875358631492,TM6SF1
ENSG00000126254,-0.918405825021818,1.96693807375031,11.6981022939466,0.0024007134894747,0.993875358631492,RBM42
ENSG00000156689,-0.915365582466529,4.6055528116359,11.9927888808242,0.0024653697451939,0.993875358631492,GLYATL2
ENSG00000159063,-0.619792350625178,4.2346361019008,11.9499707632362,0.0024889941071391,0.993875358631492,ALG8
ENSG00000170153,-0.664031129660972,7.58176571018079,11.9593266712727,0.0024957694876231,0.993875358631492,RNF150
ENSG00000198633,-0.968839729147176,2.89769344920499,11.7136386675008,0.0025040197645715,0.993875358631492,ZNF534
ENSG00000166707,2.31016399472355,0.719299766966004,11.17052005577,0.0026013369511333,0.993875358631492,ZCCHC18
ENSG00000103942,-0.599685904542706,5.94590348999751,11.7852031382357,0.0026488262466325,0.993875358631492,HOMER2
ENSG00000082781,-0.972078241650964,4.66198962095116,11.7415251499147,0.0026828663856163,0.993875358631492,ITGB5
ENSG00000144057,-0.997342284333188,5.71379149503912,11.6132494049823,0.0028082418012832,0.993875358631492,ST6GAL2
ENSG00000232913,2.1542857113272,1.49089345035862,10.9651162943947,0.0028379812903586,0.993875358631492,PLCE1-AS2
ENSG00000166111,-0.392815472982518,6.61341923637984,11.5602259527557,0.0028549811255567,0.993875358631492,SVOP
ENSG00000159685,-0.496785181595103,6.28374695843422,11.36361526571,0.0030531176891556,0.993875358631492,CHCHD6
