"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000278416",-2.87095460040571,0.0980818222356034,37.593934635346,2.66063341255638e-06,0.0319503843689967
"ENSG00000286390",-3.63692246176906,0.703056478176863,36.5723369459362,3.03942012642662e-06,0.0319503843689967
"ENSG00000256259",-3.82698502568641,0.505828714184622,27.6130037814035,1.33806036814532e-05,0.093771270599624
"ENSG00000204434",-3.18718042359166,2.03984702709294,29.3872000825464,2.39979348480211e-05,0.126133145561199
"ENSG00000140505",-5.78323815830915,0.559372039150515,23.1606067156326,7.85204978705711e-05,0.330162989446177
"ENSG00000246090",-1.76868412738587,3.72458859253466,21.0694729715343,0.000202185377880672,0.5453621331197
"ENSG00000215506",-3.60803628486157,1.0715821955428,20.0206576050556,0.000203051989115065,0.5453621331197
"ENSG00000228522",-2.63420578250366,0.87647878909933,20.2007824819341,0.000207519837564574,0.5453621331197
"ENSG00000175267",-2.82575364967451,3.75815019982711,19.9357853926316,0.000264432051432154,0.574369759810098
"ENSG00000228692",-2.63207846410698,0.638854989604372,18.5244275290836,0.000317676404726649,0.574369759810098
"ENSG00000167552",-0.996801439708515,8.12266929276846,19.2160789366516,0.000324908003031421,0.574369759810098
"ENSG00000089101",-1.89893500731056,3.29426108729961,18.9271450144079,0.000341874886346593,0.574369759810098
"ENSG00000185668",-1.64540069525466,0.616905754143057,17.749425514963,0.00040193764722526,0.574369759810098
"ENSG00000139239",-2.26355498758636,0.36917367095551,17.1871618198279,0.000429959491439279,0.574369759810098
"ENSG00000276266",-2.11784020781852,1.29162832145673,17.3887993795171,0.000448260098998852,0.574369759810098
"ENSG00000249550",-2.49771001089879,1.64760645900714,17.3331512304074,0.00045427392159207,0.574369759810098
"ENSG00000162877",-2.72038895666114,1.53928426910582,17.1231338257013,0.0004835218340952,0.574369759810098
"ENSG00000227615",-1.7023783661102,1.02775986960029,17.0549234804509,0.000491754931344262,0.574369759810098
"ENSG00000288043",-1.48393710464654,0.854570643771141,16.1771935283574,0.000633271340420089,0.640490221413408
"ENSG00000147592",-0.748961930658416,3.88961484068554,16.6317894553283,0.00065115304014281,0.640490221413408
"ENSG00000198736",-1.21341046859095,1.12877399471957,16.0427550648992,0.000655957394749816,0.640490221413408
"ENSG00000232284",-1.87282341333398,3.46136848841546,16.441827521209,0.000670223785725598,0.640490221413408
"ENSG00000258732",-3.03417532292607,-0.491295963050652,14.5069873448348,0.000755095128966161,0.690222608321068
"ENSG00000167755",-0.784796696862277,5.76070537327705,14.8072972894428,0.00109835456911173,0.849106858568804
"ENSG00000112306",-0.768809706417338,5.35544979875007,14.7819693896017,0.00110766897490502,0.849106858568804
"ENSG00000271943",-1.70360789918793,0.153501505579029,14.1237164118705,0.00112393048834665,0.849106858568804
"ENSG00000168255",-1.37859895829201,0.176758131376435,14.0970866094573,0.00114791514084281,0.849106858568804
"ENSG00000273124",-1.8350189987719,0.761742802237724,14.0639804328433,0.00119616908254479,0.849106858568804
"ENSG00000130332",-0.779998417703741,3.87413465343839,14.279147675791,0.0012860949803161,0.849106858568804
"ENSG00000287776",-2.68186391380469,0.569764048470771,13.4366107238187,0.00128753826602323,0.849106858568804
