gene_ensembl,logFC,logCPM,F,PValue,FDR,gene_symbol
ENSG00000026508,-3.20053832386345,1.72373473754894,34.2200722982315,7.8121492171698e-06,0.201983118009925,CD44
ENSG00000204434,3.05735984806854,1.22544165192649,29.5960819309481,2.51173370952581e-05,0.231753608391337,POTEKP
ENSG00000246090,1.89617302230972,2.40064424624761,31.1909599164399,2.68907687168443e-05,0.231753608391337,LOC100507053
ENSG00000256259,5.01786233111857,-0.267706465091828,22.2824138168444,7.58780476739425e-05,0.490456730652446,LINC02425
ENSG00000279875,2.31798424054481,-1.41568392765676,17.9539143876473,0.0003137447382928,0.94764162434913,NONE
ENSG00000168685,2.95502134520946,-1.31556495204652,17.4643117447041,0.0003403164151402,0.94764162434913,IL7R
ENSG00000254171,1.35187246186802,2.72888134864595,18.0641095019006,0.0005047973036819,0.94764162434913,NONE
ENSG00000147614,2.11138887859695,0.215457385936555,15.828324461888,0.0007208926914937,0.94764162434913,ATP6V0D2
ENSG00000259520,-3.44016197195356,2.99780656725965,16.132051519129,0.0008008172832199,0.94764162434913,SLC28A2-AS1
ENSG00000158683,1.13485903097405,5.42490985906887,16.285997547529,0.0008044795506923,0.94764162434913,PKD1L1
ENSG00000091704,6.95301450306986,2.66745828584785,15.1175932914092,0.0008837085228644,0.94764162434913,CPA1
ENSG00000258231,1.44593925160942,2.52562322795718,15.839902277169,0.0009152075160097,0.94764162434913,LOC100506869
ENSG00000129521,0.751339554011405,4.26108192316268,15.5147890186629,0.0009964692842061,0.94764162434913,EGLN3
ENSG00000240057,0.822157045547428,4.6976165015232,15.4164729143729,0.0010239852400116,0.94764162434913,NEPRO-AS1
ENSG00000120907,2.05274586806585,3.28054255661436,15.0988218857596,0.0011250203292185,0.94764162434913,ADRA1A
ENSG00000226383,1.77555101463717,3.15845536524733,14.6678039974145,0.0012719282953639,0.94764162434913,LINC01876
ENSG00000256424,1.85472929951537,0.167302753781999,13.2257012148045,0.0015166483508398,0.94764162434913,LINC02414
ENSG00000169006,1.52762784373071,-0.812449818836455,12.8094260866386,0.001558938529112,0.94764162434913,NTSR2
ENSG00000288000,1.42788702185021,3.95046922403061,13.4407560172152,0.0018208738780605,0.94764162434913,NONE
ENSG00000169436,1.96670416205002,2.43552565399947,13.3800339381136,0.0018557674356752,0.94764162434913,COL22A1
ENSG00000153294,2.51528791312556,-0.983089612070916,12.2639055931633,0.0020538534673221,0.94764162434913,ADGRF4
ENSG00000243629,2.27073442104122,-0.684367687696182,12.1522557314324,0.0021198927689181,0.94764162434913,LINC00880
ENSG00000162650,0.92843250960324,2.43906727562596,12.8802832815573,0.0021617085470711,0.94764162434913,ATXN7L2
ENSG00000282022,0.8009968160276,4.62228650486604,12.7381744437958,0.0022528952325825,0.94764162434913,NONE
ENSG00000154065,0.646095325905781,4.04214367889976,12.5748614954194,0.0023715613585687,0.94764162434913,ANKRD29
