"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000173578",-0.039233425575,0.013579439,-5.73442721916554,5.05197801109185e-05,1,2.22360057587871
"ENSG00000224468",-0.0464631247,0.01893548725,-5.45001025323034,8.38771173880715e-05,1,1.74302012788086
"ENSG00000146013",-0.0416506057,0.0187263994375,-4.96062824167393,0.000205837859074616,1,0.88816991767766
"ENSG00000120160",-0.035874188825,0.015309165875,-4.25472032620963,0.000791257931195589,1,-0.399230032624545
"ENSG00000237990",-0.040314978475,0.020375394875,-4.2099733610161,0.000863297751976604,1,-0.482592551666558
"ENSG00000254638",-0.04656947415,0.0168877308125,-4.16833767855525,0.000936360633164202,1,-0.560308652473351
"ENSG00000268931",-0.03978641053,0.0188665054,-4.1507331408914,0.000969128888577421,1,-0.59321053411944
"ENSG00000230666",-0.47492300575,0.344023021875,-4.10142470809016,0.00106729426685813,1,-0.685491164772192
"ENSG00000026508",-0.197013507125,0.0990001436875,-4.0753775493982,0.00112319462718964,1,-0.734310177076499
"ENSG00000137860",-0.305997528525,0.11913043675,-4.05055752741484,0.00117924399518667,1,-0.780873183918074
"ENSG00000226669",-0.039301742175,0.01710294325,-4.03971364301786,0.00120462047888014,1,-0.801229628528154
"ENSG00000270876",-0.022951137775,0.008339615625,-4.03366707895737,0.00121901173782663,1,-0.812583772900394
"ENSG00000242992",-0.0515914938,0.0161223418125,-4.03040827395171,0.00122684055423888,1,-0.818704094126431
"ENSG00000231856",-0.03721931135,0.0139658049375,-4.00409202183173,0.0012919710596031,1,-0.868153151139794
"ENSG00000223158",-0.01541976608,0.0048186769,-3.9444330216487,0.00145299314473677,1,-0.980409173948285
"ENSG00000236341",-0.040017926055,0.0173267507125,-3.88164287358351,0.00164463480513164,1,-1.09876649190868
"ENSG00000171053",-0.054260823,0.026871958875,-3.85519299213487,0.0017328810378275,1,-1.14868079296088
"ENSG00000259520",-0.5637554208,0.252203846375,-3.84237767554966,0.00177735319437312,1,-1.17287602909879
"ENSG00000235098",-0.08039957,0.0588353338125,-3.81950379658,0.00185963292166742,1,-1.21607866980381
"ENSG00000285043",-0.12489172325,0.0744779228125,-3.77735353317823,0.00202152016941832,1,-1.29574125539809
"ENSG00000287903",-0.05326184215,0.030869153375,-3.76571260008221,0.00206869925583849,1,-1.3177530250481
"ENSG00000250030",-0.04139191273,0.02041882715,-3.69879244852478,0.00236240577006403,1,-1.44436778739557
"ENSG00000153498",-0.029402750975,0.01035574475,-3.69166305934306,0.00239608743555409,1,-1.45786332263971
"ENSG00000041982",-0.134735603125,0.0646572213125,-3.68177352886213,0.00244361494870774,1,-1.47658539026543
