"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000279070",0.0128247055666667,0.00358580146470588,7.00651679008773,3.36102472319521e-06,0.0656018449478608,4.52182354411165
"ENSG00000287307",0.0142241101,0.00562859495294118,6.92939679795686,3.84007053284519e-06,0.0656018449478608,4.40693153023131
"ENSG00000276968",0.0287307936166667,0.0144944050176471,5.80058783835228,2.9631904749454e-05,0.29311651374619,2.61167625831799
"ENSG00000125144",0.0266399052666667,0.0144293023705882,5.6089482642904,4.26471636946862e-05,0.29311651374619,2.28605638580472
"ENSG00000287960",0.0147728466666667,0.00640430128235294,5.60592294655442,4.28946810879196e-05,0.29311651374619,2.2808691396199
"ENSG00000225924",0.01260723005,0.0045474962882353,5.33340858094996,7.25965708137986e-05,0.354939055713995,1.80778223583808
"ENSG00000026508",-0.141974330666667,0.0691223754705882,-5.22278852423434,9.01254079738955e-05,0.354939055713995,1.61253559728866
"ENSG00000272263",0.0124826549833333,0.0054615447,5.21881532787428,9.08308349952745e-05,0.354939055713995,1.60548934279671
"ENSG00000271151",0.0165835399666667,0.00579487563529412,5.11311909348443,0.000111845410424143,0.354939055713995,1.4172069338244
"ENSG00000254265",0.0154860997,0.00577155147058823,5.06982954077885,0.000121844450605236,0.354939055713995,1.33963491739038
"ENSG00000183476",0.01389724475,0.00608142797058824,5.05692958514507,0.000124998872842563,0.354939055713995,1.3164684473445
"ENSG00000231605",0.6124424285,0.221306061588235,5.0459020721325,0.000127762083730058,0.354939055713995,1.29664633323293
"ENSG00000170498",0.0166189484333333,0.00758174140588235,4.98123426691826,0.000145282253019783,0.354939055713995,1.18006934991719
"ENSG00000234622",0.0113806738583333,0.00342387592058823,4.946292936048,0.00015575991695879,0.354939055713995,1.11684498271241
"ENSG00000196900",0.0437755577666667,0.0179884923176471,4.91762327424812,0.000164936090462251,0.354939055713995,1.06484750265309
"ENSG00000261801",0.0110296761,0.00502458219411765,4.91376205136641,0.000166213741078348,0.354939055713995,1.05783621344549
"ENSG00000267397",0.0277909663333333,0.0149345662235294,4.77467798521033,0.000219714959718922,0.427289605479883,0.80400597618144
"ENSG00000261441",0.0158744781433333,0.00595146469058824,4.76264460911162,0.000225106474043314,0.427289605479883,0.781930770353221
"ENSG00000286328",0.0536543044166667,0.0256581310294118,4.67651820150442,0.000267876918321663,0.481713193068224,0.62342257197093
"ENSG00000287063",0.0382413778333333,0.0273660642941176,4.53489859258037,0.000357162638054459,0.566927331437958,0.36092985868381
"ENSG00000250098",0.0265701350666667,0.0144071169764706,4.52757490236576,0.000362534670639369,0.566927331437958,0.347295804235256
"ENSG00000240012",0.0462632511666667,0.0233087881176471,4.52419411635984,0.000365042330073904,0.566927331437958,0.341000102871716
"ENSG00000267224",0.01843051125,0.0102895105,4.46566287174898,0.000411381870837585,0.611116712213381,0.231815933537346
"ENSG00000278044",0.02691747496,0.00659239410235294,4.36456721140619,0.000506059618897823,0.709697696338307,0.0424354998168859
"ENSG00000168329",0.0198334685166667,0.00895630246470588,4.35200447264639,0.000519285931116506,0.709697696338307,0.0188351184173392
"ENSG00000112378",0.0503240858333333,0.0277857597058823,4.23425851331162,0.000661744949735484,0.869609219138933,-0.203025272047815
"ENSG00000162194",0.0460350441666667,0.0228589895882353,4.21039173777263,0.000695163477258414,0.879690760277342,-0.248133061931959
"ENSG00000273597",0.0345196320833333,0.0199637318235294,4.14067410062621,0.000802947940328737,0.929870247639165,-0.380139226505754
"ENSG00000256259",0.120349327983333,0.0272548689529412,4.12239269994371,0.00083392294628843,0.929870247639165,-0.414810107551927
"ENSG00000283392",0.0294657127666667,0.0108472454294118,4.12193226318674,0.000834718554279816,0.929870247639165,-0.415683617903074
"ENSG00000241233",0.02128169085,0.00880600528235294,4.11516807134121,0.00084649587142707,0.929870247639165,-0.428517798941607
"ENSG00000223479",0.019490567,0.0102262566235294,4.09215224517497,0.000887847254913592,0.929870247639165,-0.47220941248017
"ENSG00000279924",0.011078817475,0.00213944039352941,4.08131265229005,0.000908026273977748,0.929870247639165,-0.492798045844396
"ENSG00000184361",0.0143269605,0.00651415961764706,4.07221284491013,0.00092532526764807,0.929870247639165,-0.510087686968898
"ENSG00000133110",0.0241371767333333,0.0127488494176471,4.02595993335259,0.00101855839458353,0.994316704792442,-0.598043067289236
"ENSG00000160808",0.0207014687333333,0.00976172118235294,3.98754008089421,0.00110320467047192,1,-0.671191792756478
"ENSG00000116785",0.0107465645333333,0.00450040807647059,3.9715728172628,0.00114044633939758,1,-0.701614242195985
"ENSG00000236497",0.0284901212666667,0.0144745563176471,3.94973010613387,0.00119346094349926,1,-0.743250662589298
"ENSG00000196954",0.0137080756933333,0.00541341526705882,3.9028934920049,0.00131569332373127,1,-0.832600165771376
"ENSG00000263232",0.0135366284666667,0.00728980074705882,3.90267908547156,0.00131628102471684,1,-0.833009389576356
"ENSG00000236885",0.0108635203666667,0.0065290734,3.90221798763935,0.00131754581948642,1,-0.833889462973641
"ENSG00000268204",-0.0137562781,0.0070209251,-3.86525306023152,0.0014230382146065,1,-0.904467749701585
"ENSG00000236814",0.0223301935666667,0.0117670647117647,3.84393532139117,0.00148771052006889,1,-0.94519136193278
"ENSG00000143412",0.0237194011,0.0122918574941176,3.81441620787048,0.00158218786792837,1,-1.001604433321
"ENSG00000287921",0.0182254272333333,0.00882543973529412,3.81391201898052,0.00158385302701596,1,-1.00256817896422
"ENSG00000150750",0.0146043715666667,0.00665403531764706,3.81031371831207,0.00159578834003955,1,-1.00944643779726
"ENSG00000220161",0.02140003935,0.0107692005235294,3.75211582911005,0.00180190756009417,1,-1.12073386043157
"ENSG00000259819",0.178014033333333,0.034578214,3.74186765698823,0.0018408862106132,1,-1.14033728654531
"ENSG00000267440",0.0491577856666667,0.029801109,3.72724729399115,0.0018979670407088,1,-1.1683068127174
"ENSG00000258231",0.364109538333333,0.202125700823529,3.72431094139481,0.00190964402814763,1,-1.17392455113235
"ENSG00000288070",0.0100576964666667,0.00274243242588235,3.68533209690701,0.0020716689512408,1,-1.2485060544074
"ENSG00000106560",0.010368672325,0.00263243621470588,3.68390205852099,0.00207786904019814,1,-1.25124249784648
"ENSG00000271607",0.0181412436166667,0.00856047998235294,3.68371263914214,0.00207869168515185,1,-1.25160496132903
"ENSG00000157240",0.0382012931666667,0.0219378509411765,3.65576885241414,0.0022037040269288,1,-1.30507846139898
"ENSG00000026297",0.0369930496166667,0.0198638985764706,3.65297288166443,0.00221662040365599,1,-1.31042896774242
"ENSG00000241905",0.0102861975266667,0.00534091223764706,3.63039942067545,0.00232372239718641,1,-1.35362654220653
"ENSG00000179097",1.6777826,2.29404165882353,3.57082874800228,0.00263193503058786,1,-1.46761112357887
"ENSG00000182348",4.35150411666667,5.15493927058824,3.56971866618202,0.00263805124712988,1,-1.46973486146066
"ENSG00000286797",0.1261269795,0.0620975002352941,3.56249788369192,0.00267818426777655,1,-1.4835487896779
"ENSG00000231914",0.0184430861,0.00955469577058824,3.54565612850322,0.00277418068287672,1,-1.51576531774547
"ENSG00000183779",0.0586697106666667,0.0424068721176471,3.52371124542623,0.00290444617494718,1,-1.55773597160442
