"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",3.1777979404211,0.450855885809487,0.930370049513302,0.484598452030286,0.627961211971226,1
"ENSG00000000005",0.232821991780837,-0.0973162568882404,2.58148797433561,-0.0376977378379175,0.969928679660211,1
"ENSG00000000419",9.09904747932835,-0.96415739645656,0.594326601083134,-1.6222686225039,0.104745844056873,1
"ENSG00000000457",6.34749066437819,-0.688896315852542,0.695357439411481,-0.990708198125547,0.32182808679233,1
"ENSG00000000460",4.64498935562341,-0.29662561324305,0.75048872554691,-0.395243263683791,0.692663366636147,1
"ENSG00000000938",0.180708161876407,-0.769482147571897,4.4137552044755,-0.174337296004013,NA,NA
"ENSG00000000971",105.994117636954,-1.062438916693,0.503433921275552,-2.11038404802182,0.0348252893622267,1
"ENSG00000001036",3.79830975381971,-0.90044749072718,0.991947123997037,-0.907757549715794,0.364006330901401,1
"ENSG00000001084",12.6787891043958,-0.394433849849406,0.521436472470902,-0.756437017112217,0.449387221045237,1
"ENSG00000001167",5.97247237603428,0.406295396470179,0.580215711176128,0.70024887062537,0.483771896321582,1
"ENSG00000001460",1.83006713040338,0.232250731707296,1.09575331259936,0.211955308769588,0.83214190055035,1
"ENSG00000001461",4.68281111316404,-0.299628161094746,0.786255797690518,-0.381082291507228,0.703142187108921,1
"ENSG00000001497",9.54454721304599,-0.382435587826269,0.706911506122243,-0.540994996564869,0.588511031400773,1
"ENSG00000001561",2.19393510835727,0.592876459293461,0.981550296182392,0.604020457840392,0.545830040935557,1
"ENSG00000001617",0.0922279324216126,0.209142577195864,3.64259203877408,0.0574158662209812,0.954213924434548,1
"ENSG00000001626",3.44833234267083,0.3136060296969,1.14428357615832,0.274063209706953,0.78403604612952,1
"ENSG00000001629",48.9123288403223,0.315227217024328,0.316716055615513,0.995299137619369,0.319590797090405,1
"ENSG00000001631",0,NA,NA,NA,NA,NA
"ENSG00000002016",10.3585963736856,0.0607897508094678,0.505146518724266,0.120340828959864,0.904213162272017,1
"ENSG00000002330",3.3555619843763,-0.181913887780186,0.978537464423829,-0.185903855901213,0.852520158343314,1
"ENSG00000002549",3.11092408835045,0.143098005026794,0.81709128365998,0.175130989509297,0.860976708445336,1
"ENSG00000002586",14.9906269059545,-0.158855647089078,0.530594813533062,-0.299391631876891,0.764641246321815,1
"ENSG00000002587",3.32070787864635,-0.957718834929436,1.20923988374595,-0.7920007004422,0.428360267816276,1
"ENSG00000002726",0.00802099479361582,0,4.43709924942127,0,1,1
"ENSG00000002745",0.79654310971869,-0.913709326558606,1.70401598568551,-0.536209363195047,0.591813863121364,1
"ENSG00000002746",16.7427081495566,-0.492637644137016,0.550862724520712,-0.894302014291572,0.371160322532812,1
"ENSG00000002834",10.3630010137764,-0.223467574896897,0.545212399805599,-0.409872510193415,0.681899471835072,1
"ENSG00000002919",1.57375636934505,-2.29767457025041,1.39585422463344,-1.64607057793144,0.0997492290932566,1
"ENSG00000002933",0.451514595063922,0.695452626654206,1.94291331123977,0.35794320962804,0.720385813528845,1
"ENSG00000003056",7.27623583346626,-1.93482781116526,0.940992692611747,-2.05615604282228,0.0397674777451836,1
"ENSG00000003096",19.3592494462629,-0.149816359175911,0.505821167634634,-0.296184439802106,0.76708923125749,1
"ENSG00000003137",4.85439243981873,-2.8136057064593,1.74279092818793,-1.61442526521799,0.106435215191447,1
"ENSG00000003147",2.27473989198211,-1.62529281021735,1.45734156355787,-1.11524494384793,0.264745471250693,1
"ENSG00000003249",0.0993228570975997,0.209056806980941,3.63421579823961,0.0575245991397119,0.954127311269831,1
"ENSG00000003393",17.8395516316064,0.30704142372556,0.41722637198014,0.735910873199011,0.461784939681251,1
"ENSG00000003400",0.790453742993322,-0.1447933452722,1.89866845823034,-0.0762604680372449,0.939211876155582,1
"ENSG00000003402",47.8095669073553,0.400045545722568,0.381036315318544,1.04988823804926,0.293769499919736,1
"ENSG00000003436",74.1659202678457,-0.143496430472756,0.392081815913238,-0.365985936222326,0.714375569908418,1
"ENSG00000003509",7.9073735945213,-0.187165379662347,0.604515733216882,-0.309612090104522,0.756855961216739,1
"ENSG00000003756",28.0169385625088,0.168614536211566,0.347787849226863,0.484820089564366,0.627803970850921,1
"ENSG00000003987",4.36880515470772,-0.584965680481961,0.910207369648227,-0.642672977596343,0.520436318711573,1
"ENSG00000003989",13.5123734591577,-1.90186109086165,1.09574838589617,-1.7356731849586,0.0826216374489312,1
"ENSG00000004059",1.20158169091402,0.904166673542315,1.55550190342119,0.581270052806545,0.561058460733886,1
"ENSG00000004139",2.75810582271347,-0.734473863194656,1.10927152722777,-0.662122704104929,0.507892586301511,1
"ENSG00000004142",3.01485233540507,-0.815321659746949,1.00018443041575,-0.81517131736198,0.414974253558975,1
"ENSG00000004399",11.4247665538286,0.100654214288005,0.536165825795002,0.1877296340899,0.851088598619092,1
"ENSG00000004455",7.26177255948809,-0.0552710375301343,0.69133482296352,-0.0799482908921121,0.936278382141646,1
"ENSG00000004468",10.0094204920144,-1.06681228618752,0.856413720369266,-1.24567397837523,0.212884110607433,1
"ENSG00000004478",3.89699350768392,-0.0268068878362361,0.844280750346886,-0.0317511536597537,0.974670500707691,1
"ENSG00000004487",12.9695752963375,-1.08344157383811,0.498693817260077,-2.17255866493543,0.029813549775459,1
"ENSG00000004534",83.366801000624,-0.0547994113796206,0.23040448959835,-0.237840032870667,0.812005167689951,1
"ENSG00000004660",2.03615910278568,-0.23824313852813,1.08922373203264,-0.218727458392349,0.826862358148418,1
"ENSG00000004700",6.84191018638981,-0.49768184039177,0.638085214630122,-0.779961404810579,0.435413593030156,1
"ENSG00000004766",22.2095789215302,-0.383507920343209,0.443944644684249,-0.863864278880928,0.387662451842411,1
